"","Subset_1","Subset_2","Subset_3","Subset_4","Subset_5","Subset_6","Subset_7","Subset_8","Subset_9","Subset_10","Subset_11","Subset_12","Subset_13","Subset_14","Subset_15","Subset_16","Subset_17","Subset_18","Subset_19","Subset_20","Subset_21","Subset_22","Subset_23","Subset_24","Subset_25","Subset_26","Subset_27","Subset_28","Subset_29","Subset_30","Subset_31","Subset_32","Subset_33","Subset_34","Subset_35","Subset_36","Subset_37","Subset_38","Subset_39","Subset_40","Subset_41","Subset_42","Subset_43","Subset_44"
"1",0.806794055201699,8.89596602972399,35.6050955414013,1.3588110403397,0.764331210191083,0.29723991507431,0.870488322717622,9.66029723991507,0.530785562632696,3.73673036093418,21.1252653927813,0.29723991507431,0,7.0276008492569,2.78131634819533,0.382165605095541,0,0,0.0424628450106157,0.488322717622081,0.106157112526539,0,0,0.467091295116773,1.0828025477707,2.50530785562633,0.0849256900212314,0.106157112526539,0.360934182590234,0.106157112526539,0,0,0.127388535031847,0.191082802547771,0.127388535031847,0,0,0.0636942675159236,0,0,0,0,0,0
"2",1.99575371549894,0.276008492569002,9.87261146496815,4.43736730360934,4.16135881104034,0.382165605095541,0.212314225053079,0.615711252653928,0.700636942675159,1.0828025477707,20.2123142250531,2.56900212314225,0.403397027600849,3.80042462845011,9.80891719745223,4.54352441613588,0.233545647558386,0.0424628450106157,0.467091295116773,4.41613588110403,1.99575371549894,0.254777070063694,0.0212314225053079,1.65605095541401,3.41825902335456,9.97876857749469,7.98301486199575,0.743099787685775,0.934182590233546,0.679405520169851,0,0,0.445859872611465,0.191082802547771,0.29723991507431,0.0424628450106157,0.0212314225053079,0.976645435244161,0,0,0.0636942675159236,0,0,0.0636942675159236
"3",1.04033970276008,46.7515923566879,3.39702760084926,0.0212314225053079,0.127388535031847,0.488322717622081,15.8386411889597,10.1486199575372,0,14.3312101910828,4.47983014861996,0,0,2.05944798301486,0.169851380042463,0.0212314225053079,0.0212314225053079,0.0212314225053079,0.0849256900212314,0.0424628450106157,0.0212314225053079,0.0849256900212314,0,0.0636942675159236,0.254777070063694,0.0212314225053079,0.0636942675159236,0.0849256900212314,0.212314225053079,0.0424628450106157,0,0,0,0,0,0,0,0.0849256900212314,0.0212314225053079,0,0,0,0,0
"4",3.03609341825902,0.106157112526539,0.339702760084926,1.76220806794055,22.3779193205945,0.276008492569002,0.127388535031847,0.127388535031847,13.8853503184713,0.870488322717622,0.59447983014862,2.99363057324841,2.6963906581741,2.61146496815287,6.19957537154989,3.71549893842887,3.07855626326964,0.106157112526539,1.0828025477707,2.63269639065817,1.23142250530786,1.52866242038217,2.33545647558386,0.509554140127389,0.806794055201699,3.33333333333333,0.552016985138004,0.318471337579618,1.23142250530786,0.488322717622081,0.573248407643312,0.318471337579618,0.870488322717622,6.60297239915074,4.84076433121019,1.25265392781316,0.445859872611465,0.89171974522293,2.46284501061571,0.127388535031847,0.318471337579618,0.106157112526539,0.148619957537155,0.0849256900212314
"5",3.26963906581741,0.191082802547771,1.6135881104034,1.69851380042463,19.5753715498938,0.870488322717622,0.339702760084926,0.169851380042463,4.92569002123142,1.80467091295117,3.84288747346072,15.6687898089172,0.360934182590234,4.41613588110403,9.68152866242038,12.9723991507431,0.318471337579618,0.0424628450106157,0.339702760084926,2.84501061571125,1.3588110403397,0.0849256900212314,2.82377919320594,0.360934182590234,0.849256900212314,5.62632696390658,1.8895966029724,0.0849256900212314,0.254777070063694,0.233545647558386,0,0,0.0212314225053079,0.403397027600849,0.29723991507431,0.0212314225053079,0.212314225053079,0.276008492569002,0.0636942675159236,0,0,0.106157112526539,0.0212314225053079,0.0636942675159236
"6",3.37579617834395,0,0,0.0636942675159236,0.0212314225053079,0.127388535031847,0,0,0.0636942675159236,0.0636942675159236,0.233545647558386,0.0212314225053079,1.23142250530786,0.360934182590234,2.20806794055202,0.29723991507431,0.127388535031847,0.0636942675159236,0.191082802547771,0.955414012738854,1.10403397027601,0.721868365180467,1.93205944798301,5.35031847133758,1.33757961783439,2.80254777070064,22.4203821656051,20.1486199575372,1.50743099787686,0.424628450106157,0.29723991507431,0.0849256900212314,3.03609341825902,11.932059447983,2.90870488322718,1.71974522292994,3.54564755838641,1.76220806794055,3.03609341825902,0.191082802547771,1.12526539278132,0.106157112526539,0.934182590233546,2.1656050955414
"7",0.658174097664543,0,0.0849256900212314,0.212314225053079,0.488322717622081,0,0.106157112526539,0,0.785562632696391,1.40127388535032,0.743099787685775,1.16772823779193,0.148619957537155,4.81953290870488,2.14437367303609,0.89171974522293,0.0424628450106157,0,0.276008492569002,1.93205944798301,0.870488322717622,0.212314225053079,1.10403397027601,1.04033970276008,1.84713375796178,1.0828025477707,0.254777070063694,0.679405520169851,19.4055201698514,0.339702760084926,0.0212314225053079,0,10.276008492569,5.24416135881104,0.318471337579618,10.2972399150743,1.57112526539278,2.52653927813163,0.0849256900212314,5.07430997876858,7.51592356687898,14.1825902335456,0.127388535031847,0.0212314225053079
"8",0.89171974522293,0,0.0424628450106157,0.615711252653928,0.658174097664543,0.127388535031847,0,0,0.445859872611465,0.339702760084926,1.0828025477707,1.06157112526539,14.2250530785563,2.71762208067941,4.3099787685775,7.98301486199575,2.1656050955414,0.615711252653928,0.0212314225053079,17.515923566879,21.2314225053079,2.4416135881104,0.997876857749469,0.976645435244161,2.65392781316348,0.955414012738854,4.79830148619958,0.382165605095541,0.721868365180467,2.01698513800425,0.212314225053079,0,1.33757961783439,2.50530785562633,0.233545647558386,0.169851380042463,0.127388535031847,1.82590233545648,0.743099787685775,0,0.467091295116773,0.106157112526539,0.191082802547771,0.0849256900212314
"9",0.339702760084926,0,0.0212314225053079,0.0212314225053079,0.0212314225053079,0,0,0,0,0.106157112526539,0.0424628450106157,0.0212314225053079,0.127388535031847,0.360934182590234,0.318471337579618,0.636942675159236,0.0636942675159236,0,0.0849256900212314,0.806794055201699,0.403397027600849,0.615711252653928,0.360934182590234,1.38004246284501,0.424628450106157,0.360934182590234,0.912951167728238,0.700636942675159,7.91932059447983,0.169851380042463,0.700636942675159,0.106157112526539,39.2144373673036,6.07218683651805,0.212314225053079,3.65180467091295,2.92993630573248,1.10403397027601,0.721868365180467,1.8895966029724,22.8025477707006,4.20382165605096,0.169851380042463,0
"10",0.403397027600849,16.8577494692144,6.4968152866242,0.488322717622081,0.0636942675159236,0.0212314225053079,5.24416135881104,24.7133757961783,0.169851380042463,10.4246284501062,21.7197452229299,0.0212314225053079,0,10.0212314225053,0.658174097664543,0.0212314225053079,0,0,0,0.106157112526539,0,0.0424628450106157,0.636942675159236,0.445859872611465,0.403397027600849,0.0424628450106157,0,0.0424628450106157,0.785562632696391,0.0424628450106157,0,0,0,0.0212314225053079,0.0212314225053079,0.0212314225053079,0,0.0212314225053079,0.0212314225053079,0,0,0,0.0212314225053079,0
