"","Subset_1","Subset_2","Subset_3","Subset_4","Subset_5","Subset_6","Subset_7","Subset_8","Subset_9","Subset_10","Subset_11","Subset_12","Subset_13","Subset_14","Subset_15","Subset_16","Subset_17","Subset_18","Subset_19","Subset_20","Subset_21","Subset_22","Subset_23","Subset_24","Subset_25","Subset_26","Subset_27","Subset_28","Subset_29","Subset_30","Subset_31","Subset_32","Subset_33","Subset_34","Subset_35","Subset_36","Subset_37","Subset_38","Subset_39","Subset_40","Subset_41","Subset_42","Subset_43","Subset_44","Subset_45","Subset_46","Subset_47"
"1",0,0,1.55555555555556,2.22222222222222,4,1.66666666666667,0.111111111111111,0,33.6666666666667,1.44444444444444,2,1.55555555555556,0.444444444444444,0,0.222222222222222,0.222222222222222,0.333333333333333,0,0,46,0.888888888888889,0,0,0.555555555555556,0.555555555555556,0,0.111111111111111,0.222222222222222,0,0,0.666666666666667,0.111111111111111,0,0.111111111111111,0.333333333333333,0,0,0,0,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0,0.111111111111111,0.444444444444444
"2",0,0.333333333333333,19.2222222222222,1.22222222222222,6.44444444444444,5.55555555555556,0,0,0,0.222222222222222,3.33333333333333,0.777777777777778,2,0,0,8.66666666666667,0.555555555555556,0.777777777777778,0.111111111111111,0,1.88888888888889,8.33333333333333,0,0,0,0,2.44444444444444,35.5555555555556,1,0,0,0.111111111111111,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0
"3",0,0.777777777777778,17.6666666666667,0.333333333333333,11.7777777777778,4.33333333333333,42.4444444444444,0,0.666666666666667,9.33333333333333,4.66666666666667,0.888888888888889,2.22222222222222,0,0.444444444444444,2.11111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,1.33333333333333,0.111111111111111,0,0,0,0.444444444444444,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0.777777777777778,13.1111111111111,0.777777777777778,1.88888888888889,0.111111111111111,0,0,0,4.44444444444444,3,0,0.444444444444444,0,0.333333333333333,6.11111111111111,0.111111111111111,0.222222222222222,0,0,6,5.88888888888889,0,0,0.222222222222222,0.444444444444444,15.3333333333333,0.555555555555556,0.111111111111111,0.777777777777778,4,31.7777777777778,0.888888888888889,0.222222222222222,0,0,0,0,0,1.11111111111111,0.444444444444444,0.666666666666667,0,0,0,0,0.222222222222222
"5",0,0.555555555555556,2.66666666666667,0.666666666666667,0.111111111111111,0.333333333333333,0,0,4.33333333333333,0.111111111111111,0,0.555555555555556,1.44444444444444,0,0.333333333333333,0,0.111111111111111,0,0.444444444444444,0.111111111111111,0.111111111111111,0,0,0.555555555555556,0.444444444444444,0,0,0,0.222222222222222,0,0.111111111111111,0.111111111111111,0,85.2222222222222,0.555555555555556,0,0,0,0,0.444444444444444,0,0.111111111111111,0.111111111111111,0,0,0,0.222222222222222
"6",0,0.222222222222222,0.222222222222222,0.333333333333333,1.44444444444444,0.888888888888889,0,0,1,1.11111111111111,2.66666666666667,0,0.222222222222222,0,0.111111111111111,6.55555555555556,0.222222222222222,0.666666666666667,0,0.222222222222222,11,5.77777777777778,0,0,6.77777777777778,0.555555555555556,14,1,0,5.33333333333333,13.2222222222222,3,0.666666666666667,0,0,1.22222222222222,0,0.111111111111111,5.33333333333333,2.44444444444444,0.888888888888889,11.1111111111111,0,0,0.222222222222222,1.33333333333333,0.111111111111111
"7",0,0,1.33333333333333,0,0.111111111111111,0.111111111111111,0,0,0,0.222222222222222,0,0,1.33333333333333,0,0,0.222222222222222,0.333333333333333,0,0.555555555555556,0,0.222222222222222,0.111111111111111,0,0.333333333333333,0.333333333333333,0.333333333333333,1.33333333333333,0.111111111111111,0,4.33333333333333,2.44444444444444,0.444444444444444,0.444444444444444,0,0.333333333333333,0.111111111111111,0,41,10.5555555555556,5.22222222222222,1.33333333333333,21.1111111111111,0.222222222222222,0.333333333333333,1,0.777777777777778,3.33333333333333
"8",0,0.222222222222222,2.77777777777778,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0.111111111111111,0,0,0.333333333333333,0,0.333333333333333,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.666666666666667,0.333333333333333,0.444444444444444,0.333333333333333,1.55555555555556,2.66666666666667,1.22222222222222,0,0,4.55555555555556,0.333333333333333,0.666666666666667,0.555555555555556,2.22222222222222,47.6666666666667,3.66666666666667,0.555555555555556,23.4444444444444,0.777777777777778,1.44444444444444,0.444444444444444
"9",0,0.111111111111111,0.444444444444444,0,0,0.222222222222222,0,0,0,0,0.111111111111111,0.444444444444444,2.55555555555556,0,0,0.444444444444444,0,0.333333333333333,1,0,0,0,0,0.111111111111111,0,0.222222222222222,0,0.222222222222222,0.444444444444444,0,0,0,0.222222222222222,0,0,6,0.777777777777778,0.111111111111111,0.111111111111111,0,1.33333333333333,0.333333333333333,0.111111111111111,84.1111111111111,0.222222222222222,0,0
"10",0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,14.7777777777778,0,0,0,0,0,84.1111111111111,0,0,0,0.111111111111111,0,0,0,0,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0
"11",0,0.111111111111111,3.11111111111111,1.22222222222222,6.55555555555556,2.66666666666667,0.111111111111111,0,0.222222222222222,1.22222222222222,10.7777777777778,0,0.111111111111111,0,0,19.7777777777778,0.444444444444444,0.444444444444444,0.111111111111111,0,10.6666666666667,14.7777777777778,0,0,0.111111111111111,1.22222222222222,13,1.77777777777778,0,0.222222222222222,4.88888888888889,2.88888888888889,0.555555555555556,0,0,0.222222222222222,0,0,0.555555555555556,0.666666666666667,1,0.555555555555556,0,0,0,0,0
"12",0,0.111111111111111,1.33333333333333,0.222222222222222,0.666666666666667,0.333333333333333,0,0,0.555555555555556,1.11111111111111,1.77777777777778,0,0.111111111111111,0,0,2.55555555555556,0.111111111111111,0.111111111111111,0,0.111111111111111,9.77777777777778,4.55555555555556,0,0,2.11111111111111,0.444444444444444,10.7777777777778,1,0.111111111111111,3.55555555555556,12.3333333333333,13.4444444444444,1.33333333333333,0,0,0,0,0,1.22222222222222,3.11111111111111,11.8888888888889,10.2222222222222,1.55555555555556,0,0,2.44444444444444,1
