"p-IKAROS"	"p-S6"	"p-CREB"	"p-AKT"	"p-PLCg"	"p-STAT5"	"p-4EBP1"	"p-ERK"	"p-Syk"
"44"	6.53592970629496	4.58142983350648	1.96062086801482	-0.145633207202417	-0.152828423369799	-0.0521316213697387	1.08569968634798	0.329153037580317	0.453446836321194
"46"	5.92367839888055	4.01702519924513	1.35342500499401	-0.0841792086020819	-0.0264416556989715	-0.081052031504422	0.427131139955804	0.482451640925501	0.709382267021542
"43"	6.46805600804761	3.32480498134241	2.04792948710876	0.00964595423264883	-0.0254098046650983	0.00889734307945336	0.670859413377294	0.279784213516731	0.542048222281352
"42"	6.23233760762793	2.46549678608373	2.34502484872395	-0.0700857743710679	-0.0615299640167289	-0.0821156705760327	0.41155737979786	0.184152431234933	0.395058034046487
"2"	5.33359347278873	1.29148416152851	3.0616392515711	-0.0393826282670167	0.025878042760206	-0.0969661985106337	0.160437880993102	0.104072080859442	0.191608899944905
"41"	3.69491468004396	1.72951607795776	0.711983842751347	-0.0476156333362277	0.0130797283316576	0.0176182443990606	0.0271273759038787	0.433618704060682	0.167103019748669
"36"	3.29355243805425	5.6579907451949	3.59958905128844	-0.037673256756269	0.030325000614236	0.0190927259657703	0.319430787150147	0.128583736832188	0.154631469300324
"39"	2.35753960217141	2.49685641184184	4.09626750615906	0.0309609243900236	0.0313538218108764	-0.074968960539054	0.0642664107160146	0.073902830436324	-0.0398787816492954
"45"	7.98248611906848	4.06306623033788	5.34531906645767	-0.125228613172392	-0.118478369902491	0.154247453555795	2.158765744402	0.518572289642247	0.297561860046161
"20"	3.3689736517477	-1.96840236870356	2.01212448656765	-0.000345369882891382	0.0136608338048644	-0.015055051564883	0.103792575951615	-0.00294016901603348	-0.0257326378740193
"47"	5.27873014215547	-3.93713514795883	0.906748072248725	-0.0220383147035093	0.00554444705976359	-0.0824366073448345	0.248510598568395	0.0184625261825999	0.449744135697365
"29"	5.07429657231172	-0.332440787304279	-1.18978652065741	0.0586151559222881	0.118075936700205	0.048720877731732	0.00278837016928895	0.138886277994629	0.0521517192446731
"34"	4.79265864746804	-8.01677124518173	1.78963166719632	0.0592151749346741	0.0169262883076484	-0.0507885185292475	0.212808179190581	0.126193099954022	0.0130037383540896
"19"	2.88212372702421	-8.18059908228453	-2.71647765304523	-0.0186217554097136	0.0479166596517804	0.0131299303760696	0.0812184509206788	0.110034100655363	1.02152788480181
"7"	1.46271537992305	-7.99498037673586	-5.30621609389866	0.0847970546858856	0.0520294509058911	0.130778528977297	0.22342704006794	0.151041865262477	0.15526159363118
"23"	-7.51346513137449	7.3036481999901	4.10626404051854	1.75500045401608	2.18011507754456	2.29122860388474	2.80831411928452	2.91724495713298	1.65842607431633
"8"	-8.656136427856	6.66270004494948	3.22174447559123	3.79049936689106	0.835544858137616	1.01994939834415	0.917472503480909	2.06058692256296	1.7564073268021
"14"	-8.77420689410031	10	6.07123934564921	1.57699985343487	0.305570290563081	1.14011794673422	2.52486787785323	3.63574520071291	2.85931129027234
"1"	-5.56303875274976	7.87381076061592	5.95688644036147	2.05766988600249	3.77047054967035	2.7863941120115	3.72665781778299	2.90871082332271	4.57699702018758
"38"	0.530563713542588	1.92229733312892	1.26490336894878	0.0602528795778475	0.055510634527098	-0.0539607660968849	0.322527247075052	-0.0227241052529828	0.0768785458134302
"37"	-2.83058858638157	1.96295861794799	2.21524119136083	0.0563095461546226	0.0199652436179933	0.0528810208415301	0.0567826489374491	0.0612496955876325	-0.0255238608210261
"40"	2.62342643713825	0.797678063708331	-2.58531354556898	0.0294734434018459	0.0444779783220955	0.0570485641853575	0.0482570750002532	-0.0485714089997587	-0.00552464596933911
"32"	1.89011888960794	1.01060671311696	-3.2170189189217	0.077406328554587	0.0393526412757634	0.089496506579291	0.0983362210914343	-0.0397645320591396	0.0803776181080204
"24"	1.06004191859683	0.405398248722694	-4.04513221307113	0.0325792772079272	0.0325923711312482	0.0201914061938422	0.0919877078211213	-0.0437524968409305	0.121040739922711
"33"	0.674020721074003	-1.50676231213534	-1.02371378592564	0.0648893843747883	0.0176453879176682	0.0913597176555296	0.0721223065827907	0.0469990293598932	0.0385862140106981
"15"	1.09810175384172	-2.39389059496707	-2.43060925459159	0.0733322565781719	0.104880605766283	0.0898422358449104	0.135484897306532	0.0874593174792344	0.127817206910107
"10"	-8.75441429855406	4.16493989829431	-5.42304692086843	0.10359582621833	0.0560284846549012	0.121388476529595	0.183997308254692	0.097268854497715	0.200668650186412
"18"	-2.90017441374199	2.78174860255796	-2.54931015504029	0.0390574112776916	0.0756564842777628	0.0997139052272617	0.138507044787399	0.0935070846103089	0.135617233757696
"3"	-4.88797552951787	1.0183037671457	-4.33516654771952	0.0144221424919679	0.011470387554219	0.0339191671324975	0.105834743819823	0.00341573046491094	0.0737805270450704
"30"	-2.41514294047347	-3.0516217867199	-4.25995766054442	0.0523264514702154	0.049284701660236	0.0646353634601781	0.132254371439098	0.0898730156088389	0.100132047903685
"26"	-3.64535694255936	-3.92833930715886	-5.27696489267823	0.0486486765492861	0.0396538803637314	0.0871314255444249	0.153968950139426	0.0970453396494413	0.12752350520357
"28"	-1.05050511988991	-4.60901186153522	-1.31758502647605	-0.0146452656016783	-0.00695310310862877	0.0153299717504712	0.0755781940294002	0.0516282153704128	-0.00452250271933727
"31"	-1.80417432999532	-4.46882395805744	-2.07769045018087	0.0366669336266716	0.022216095358502	0.0476247252451528	0.111094802501596	0.0286667135384722	0.091104227821898
"35"	-1.95002355190921	-7.90120534484242	-1.08538966415651	0.0839642340446053	0.065110480354034	0.0408042610185883	0.0979805359174586	0.073540570206681	0.109222971585074
"13"	-0.873023781044984	-8.2540680252743	-3.12726244362779	0.0514350203272678	0.046850126680184	0.0427689701553361	0.143951481685147	0.183122493855814	0.0841306818270842
"12"	-1.00178042985676	-8.17058839684398	-3.29881134441162	0.0981321633466083	0.0808081728709707	0.119016224789974	0.0986067178510995	0.178592507654545	0.126697817944984
"27"	-8.24251137064092	-6.62778195661507	-5.60431033518184	0.0402182629913092	0.0199261113746584	0.0624752068334002	0.149448531899496	0.0467442388190378	0.127722244033339
