"PAX5"	"CD19"	"CD34"	"HLA-DR"	"CD24"	"CD43"	"CD38"	"TDT"	"CD58"	"IGMi"	"CD127"	"CD45"	"CD123"	"CD179a"	"tIKAROS"	"CD20"	"CD22"	"RAG1"	"CD179b"	"IGMs"	"TSLPR"	"CD79b"	"CD10"
"14"	3.20738644139657	3.99116369981587	3.86262173885211	4.73495652761489	3.93874170651847	2.32210624686914	5.29223443944274	1.91599785804561	3.31596280671702	1.34668183995303	0.81747474279258	2.30039638674403	0.487769727685531	1.794882507432	0.457369854902339	0.436051834760116	1.10620937260798	0.937252244088244	2.10344715732712	1.40552376939434	1.92318859632377	2.22049190898222	1.15481678190891
"8"	2.61620327880561	2.83572125141351	2.86425696475247	4.33310359692645	3.60558456267189	2.32703828075115	5.32967029296689	2.7450856500594	2.35573283012837	1.35131086962801	0.69532406290486	2.47031929141411	0.410516590262384	1.55921792768003	0.318464368208428	0.241700395470144	0.405795549502055	0.399286539904869	1.74004745963129	0.85486603478046	1.16855291301566	1.65973679393729	2.37391427147606
"1"	3.22731932544676	2.92400061446586	2.40552460219181	4.93245506172736	3.49487751014776	2.85237659331872	4.36281445813985	1.84248331323061	3.46939233270453	3.01886442239448	1.24543780839001	1.79601567861171	3.05937519340267	1.66888271485461	0.998813170604776	0.971836881726521	0.960226234820641	1.43439482695597	1.50538603127391	2.04565797483417	1.75266820099687	2.81178716067608	3.36513777514311
"23"	2.22481467067209	3.44302592129348	4.56434893313378	5.18716160480348	1.16148200514267	1.85315641479279	2.04085860650027	2.04276470153615	3.67654622400327	1.38331903518781	0.726590997124474	2.44891597590003	1.39132468020994	1.32873442984747	1.13888241780404	0.539189614061212	0.912102036394693	0.971941677615687	1.0612004554199	1.86775142784002	1.53173572484006	1.94206357886414	2.34816365454348
"45"	3.91468896633507	3.22574123061961	3.17653449322762	5.48831996297438	3.00076244523783	1.77814672637414	2.0869934302706	2.80031374429443	0.933691258220211	2.03068010184622	0.039502256910999	1.86003612538051	0.516677506232732	0.0282704952628055	1.95582982071852	0.581485555572153	0.469442278461281	0.348544153332103	0.395521240925837	0.282443425295343	0.126321441678762	0.397522387234055	3.66942978893483
"46"	3.00163520579216	2.25896581119794	2.71239721863677	5.681297242724	2.20919233396821	2.05205832536084	3.0883074340791	2.09352675360465	1.27075383270232	0.453404051043262	0.079258574318389	0.0511134702994866	0.0800212434403611	0.129111594409015	0.25465888575316	0.0220630433234003	0.142361974674454	0.0967396966138741	0.186610080374238	0.795956735408776	0.0322593373246958	1.18105879355728	3.60861849307448
"38"	1.60507038538276	1.70902634015685	2.30370726687423	4.67468846514001	4.50177939811161	2.51132608130563	0.382058353856157	0.472150319519023	0.694280464685795	0.000575321461923553	0.0543833299036968	0.184717547782956	0.217470193513862	0.0401356385064316	0.528453986003505	0.408682916886393	0.0709913012165558	0.0505992327896145	0.0845133871576482	0.0689489863593042	0.00048322785099705	0.00497279053511134	4.98844221441611
"39"	2.04512353449571	1.20843300079685	2.00602533727194	3.86973908249917	3.29414203082893	1.30956367078058	0.838116085160051	1.60411008287955	0.687352570923024	0.0123145835440771	0.0478604416074202	0.0394256876621371	0.000220778978498795	0.00846643614995545	0.12379603925711	0.0568328929561834	0.035157664288632	0.00533677786485349	0.101676871744672	0.0932614057700218	0.00835058744248217	0.0284281674604421	3.48176918315072
"47"	2.01080203655941	2.12082869866892	1.87800976676021	4.82876874646857	3.4863492461871	3.27113206297344	3.21403570478398	0.563475686943716	1.04973995024966	0.565403159973603	0.000754360128748798	0.0132518656604266	2.07493420052811	0.0661387036205213	0.0886828713054256	0.0134075186834321	0.193499729318445	0.0431195277330534	0.177387570376142	0.159851943878098	0.0338629528604111	0.00475097758557154	3.19017126116868
"42"	2.57791932637236	1.63478286183965	0.946088943101187	4.51850319194344	3.26884522926119	1.70295374581491	2.92827410795925	1.11637064528124	1.1381658423863	0.218226494185352	0.0413821474795536	7.68714117991821e-05	0.112429870163763	0.704202626675712	0.165119188821294	0.0324708619418092	0.0596601557418996	0.0617359601967493	0.572213185984983	0.241365472758201	0.0515720372346915	0.00570202322962154	3.58093039737236
"41"	2.08479824582766	2.2208224251479	0.289188547196397	5.82688727722392	2.54193112004655	1.49451077272124	2.63800297645301	0.511514543824551	0.90786343721072	0.213704289712338	0.0893193887393209	0.0218496230304036	0.398711405076606	0.0330827593446465	0.0848858430568876	0.162430294417606	0.0576171318422837	0.00656273009942694	0.192911400794606	0.227592146700775	0.0142749497826085	0.0302329371022957	2.21147037246629
"40"	1.32243114434902	1.32112568879111	0.144445505960964	5.28172511769556	3.3093589537949	2.64821766604582	2.81209868927245	0.16839027864454	0.404501454520947	0.101346861757882	0.0283181041055936	0.0308490100919715	0.00965354647989983	0.143783839424904	0.0275324427756435	0.0750680806223722	0.0484370113416264	0.0473525092184129	0.175542930734138	0.102788916590478	0.0354781105784384	0.0580257480391902	2.994668694688
"43"	2.75293415098894	2.0566507504261	0.0120210017390859	5.23258082536282	2.26866857861975	3.66632170063589	2.23077438980756	0.649430513408182	0.840477465533595	0.467195359377815	0.0445111415339743	0.0376071700833115	2.55655372632444	0.0406314383764953	0.08655295679523	0.0382857065423988	0.0172674508931808	0.0263373025957969	0.0944656717280189	0.284306337972209	0.0278917357127554	0.0498028606093764	1.57667358198131
"37"	2.76018196544345	3.10162041171673	3.37349286125187	1.91725366691887	3.38381980140178	2.45634423663237	5.23631924269929	1.06611299548366	0.964209703751328	0.0281741514681918	0.424030614397457	0.0350409450479833	0.0595008586605271	0.389676750817078	0.0495768508573056	0.0923934284669563	0.018425926375729	0.0308443678310158	0.578230777572452	0.0492771351384211	0.0444419940264135	0.0576933588320064	0.130803368980754
"36"	3.10697570369527	2.0353194818669	2.77000521791489	3.03011633702694	2.66388672391349	2.77352419201781	3.56133902268757	1.17808994685767	1.07378864353436	0.0483657391418943	0.0327221199746127	0.13405810792276	0.0933333333292439	0.13480445849178	0.131330887288633	0.0784700694639465	0.0076627421008709	0.00353214155312951	0.219351452343619	0.00925082259397029	0.0221670131109552	0.0209354678869561	0.233615136164216
"44"	3.16126797719156	2.22876639091753	3.16003640544713	3.84052708973358	1.40439960844712	1.94545724604722	3.92223998102755	0.534376290211294	1.2990131245536	0.148056032736047	0.109462058077085	1.76627998687204	0.143435838270414	1.55385961618846	0.274568284083191	0.0834639335180924	0.186575230811789	0.0174715615399945	1.67302287113746	0.10698852971822	0	0.0850725150236817	0.361643834373827
"29"	3.15867068223971	1.26481603423622	0.0864463179688386	3.63494442622797	2.59151520695024	3.02138239555655	4.288069842252	0.0630733985738237	0.266365468257624	1.79410585059479	0.0442037886217393	0.138032045888659	0.0448416769894101	0.929909891878548	0.0140398881658176	0.0919841845277275	0.0477282970759297	0.0905357241223397	0.439690970176229	0.0641837542089257	0.0606441940015865	0.0585588757693646	0.163373661015747
"28"	3.44157059346204	0.481772147026454	0.0470859847106706	3.68503583275566	2.88200150379905	1.22655152470399	1.99416708235049	0.0569240991779082	0.822344181528943	0.94621579424113	0.0294782993121863	0.0462105509196458	0.0575219105705798	0.310248530114487	0.0397986815982835	0.0593846949503636	0.0545195217677036	0.0481820653416711	0.148540871666243	0.049684110962265	0.0387534630640078	0.0521468304046686	0.152087811564549
"33"	1.87894382332706	0.821537273789709	0.180828863923196	5.1463697567999	0.977869882293288	1.97119871937729	0.585165041713554	0.0719835036093813	0.35557545187581	0.0816828626314754	0.0651559477100735	0.0668343716284724	0.0966246222748771	0.0574958795994736	0.0548440488765323	0.0786883837832338	0.0586388745546215	0.0743800006726029	0.033599819200562	0.0392490591785101	0.0715922585461395	0.0755837973442832	0.213274668969852
"32"	1.22353730811225	0.562900080499644	0.0318011264324044	5.25945400561795	1.96643798416813	1.03275899543645	2.33560912310746	0.127408005581421	0.201512533838944	0.331838260100477	0.0931007005359303	0.0244223038828541	0.0116102739442433	0.0165030319697423	0.0529013259765547	0.0718506655553492	0.0593476952814274	0.0243280254230221	0.00451810834451448	0.155530022113771	0.0535654831280817	0.0507916963129266	1.50295535064707
"34"	2.02428010898131	0.408794126808968	0.122265908674196	1.93188540019813	2.06754256926552	3.96383323062222	3.36365541559591	1.26873086217643	0.671781238706545	2.49700496214409	0.0288504284217705	0.0571124125912303	0.00399300161452038	1.34360839276105	0.0301536075712859	0.0699163883186641	0.0510842346837222	0.00470004087114309	0.284653280152309	0.65495681201227	0.0660831290296107	0.110934370618362	4.36151416182358
"2"	0.0488122977734846	0.606526718534731	0.0553057932847247	0.727816563212068	2.23212550456921	3.01081105400861	4.84883262488032	2.59995395164268	0.360147711035686	1.47851237521084	0.064873235698409	0.00430865155137818	0.0557682674842106	1.80441537165026	0.124694815369174	0.10508092794945	0.0924782297159016	0.16100043271427	1.28510651599328	0.0271409086822552	0.028573964940659	0.0375142849841108	2.58815687064919
"18"	0.819401495784272	0.124591625894371	0.0633684953636721	0.0191828227936277	3.77891686027892	0.947006245451664	3.45233610584549	0.0518648348465053	0.431366589447186	0.0113093096233341	2.08317211201895	0.0465432965908301	0.0861035623404619	0.0208580717635479	0.0656716389118074	0.0579189193851722	0.0820492543871095	0.046687046853727	0.105038683344945	0.0525494206530987	0.0288763355804201	0.46154673506725	0.923240208056365
"15"	0.403472046518092	0.364539336452418	0.816653964523383	3.78122054611511	0.217017183489612	2.15188415234118	3.51452882390754	1.34476930077815	0.286567618100583	1.5878675899032	2.6739761616199	0.00743132248277143	0.0656540933799541	0.447988577943591	0.0402763094884697	0.0551040628607959	0.0521732291613878	0.0165841964281885	0.118668244038375	0.11355661222755	0.590412766242622	0.3713498115357	3.18697912109118
"20"	1.59418494130049	0.838295305170487	1.19028061552435	1.74099264472718	0.490129147513022	2.28286443796372	1.58146980751378	1.34532816421525	1.54200159710198	0.114678639375819	1.36794563094158	0.0572003541847707	1.10820256075947	0.172862291636512	0.0218682129503942	0.0641668434436006	0.0141194599299794	0.0764651770198052	0.199113039846284	0.00794717574195633	0.00566864516799028	0.0273001852045323	3.01503673425126
"35"	0.438264942739029	0.163365167698821	1.77887935906202	3.06591634406987	3.55030525288342	3.45496441552899	0.34775275063708	0.330980588939432	0.383296745274529	2.05606654564641	0.0556246742701339	0.0415883778943016	0.0422728658937977	0.105915497081388	0.102672823835117	0.0658362209646555	0.0438992540765978	0.0687288757289882	0.00251997349433566	0.290412463037127	0.0367938940691462	0.0241593223334657	5.05215578850809
"24"	0.33010284060863	0.427492659961352	1.25095322544053	4.72032662987071	1.26552924065499	2.38985704549127	1.21872059773739	0.224689403828762	0.777591805976102	0.109770161259028	1.87058040501668	0.0893850546864574	0.0758083728246935	0.222952323971212	0.0528791542649298	0.0312368196509223	0.0345944092059305	0.0196808105102797	0.205696701032229	0.0918102184114682	0.235383819084452	0.322861995751017	4.76480555297499
"19"	0.103434457209576	0.0024979272957384	1.04335017441914	2.57278169368038	0.852412793501876	5.61612280891919	3.25357727102926	0.0109354335597034	1.55264306841139	0.190592636238216	0.125158297813891	1.40576430563974	1.99629835418341	0.0489064497374418	0.0842586356284243	0.00363242907719939	0.0357573183057882	0.0533729493119958	0.0444703705919153	0.00942768272334268	0.11823809452336	0.0386914596293775	1.04018422001014
"31"	1.14804244757664	0.363277656654589	0.210225689317	4.2370250501371	2.50686060135922	0.580501980746251	1.83387808692386	0.280315016230427	0.363742877845489	0.0210660075748568	0.0395148597232291	0.0417915304105539	0.032871773737339	0.00898025718945126	0.0423836506224164	0.0602872393975817	0.0546524064410292	0.0444123772757857	0.0274882043866786	0.051762360168804	0.0455834225149484	0.0640074420018239	2.29741826286128
"30"	0.336008738635784	0.187911076447723	0.0153570069494172	3.70974908921078	3.89082530416263	0.150906499410877	2.12181000966102	0.0497251191852083	0.251857121090515	0.00759051305780112	0	0.0581147902552801	0.0673045273401681	0.0515730372625286	0.0528000977653446	0.0713230269052873	0.0670928367884906	0.0565946073576579	0.0254408899131687	0.00491342690988866	0.0408682595919228	0	4.1588334078221
"26"	0.25321016483551	0.167866408304673	0.00966122692527557	3.38154927597192	3.72799912543182	0.367637212209369	1.74910857813167	0.01798073021178	0.200513825640254	0.0278693003041133	1.87145282915076	0.0541228129162185	0.0779216319524589	0.0573876166031757	0.0651407259967162	0.0632459792298431	0.0741814519068341	0.0279929138390669	0.0244496661660804	0.0138727834474097	0.0293731232896599	0.0261162036858605	2.29505016558486
"25"	0.00540303157008441	0.0267341566199095	0.225647534933501	4.56865031651816	0.147302422770558	0.0995840712462097	0.340049786152646	0.018763667484425	0.00105399264997121	0.0459657167322579	0.013641768765647	0.0353673363061859	0.0807669278109751	0.0310116023271982	0.0701001431702753	0.0759109967386521	0.0789238641832195	0.0772620486356361	0.051706546468264	0.0424297000138101	0.0672439333381739	0.0420433535803778	4.45190360052958
"9"	0.0800603906037155	0.0122812934451051	0.0818238315550309	0.771957385855106	0.10217994028005	0.501585075218949	0.208263479135597	0.0486336905421401	0.197908278206771	0.0325885478331956	0.666211333793894	0.0262237949445878	0.0547643581879621	0.0216750898274905	0.0828038349342533	0.0836513079691277	0.0811760975650336	0.0715630648256841	0.0365886316654932	0.0682862682837264	0.0657877130467659	0.0600563550454571	3.08278329230441
"3"	0.856793528479564	0.88184838163796	0.0317141683270647	3.75950060519671	0.137279872797413	0.0741706930333311	0.532195915036962	0.0483519253227615	0.0114352960092149	4.38836247234171	0.185381992011237	1.33642590270849	0.033078237825361	0.0601486240602166	0.0432203426285996	0.947653258836004	0.0946323304559746	0.0143093447684535	0.0403699220660834	1.27723097517762	0.0562588197062038	0	0.042675215444403
"27"	0.257978862154642	0.0887971424828912	0	4.60351021800072	2.39715560833632	0.104921536540746	1.00696356428621	0	0.125978923129501	0	0.0185432617360255	0.0236160409672502	0.0543461864809713	0.0383753351041467	0.0596402266132437	0.0602216146750881	0.0607630870674634	0.0534316622455018	0.0216306655700162	0	0.0563267896018879	0.0609853210499665	0.816623170890756
"22"	0.139684796986223	0.0394899183066084	0.0262281549163703	3.4188544920957	0.825664003786032	0.135507116723364	1.75613329204805	0.0147369583743298	0.101883224871608	0	0.0224647543193961	0.0186154694663939	0.0549079114605589	0.031253730037721	0.0616692434332677	0.0687401411032225	0.0700675976392024	0.0518137835283354	0.041546327345822	0.0187115751899366	0.0607262704018181	0.0587753417280613	0.160032838357746
"21"	0.0814261620226939	0.00120018463639405	0.0163793544253254	4.74714438021494	0.123917098875178	0.0195924349591534	0.150202466807085	0.0280373298672447	0.0133591134843857	0.0412484045109113	0.0361935178224672	0.0440030982968459	0.058125605002331	0.0705268137988732	0.0736453422141771	0.0721337034047734	0.0780773579059149	0.0685485038560999	0.0557925554018456	0.031664594526966	0.0658039702060822	0.0627459558791272	0.299644001315917
"10"	0.0795329326643227	0.0145652628203393	0.016763317009754	3.38247754172864	0.00298841754211896	0.151755543454393	0.237092166244622	0.0359935076522064	0.00443486418388501	0.0261812085567306	0.487617352771342	0.0535286346803777	0.0719779218878239	0.0738204942959368	0.074479068479305	0.0789527179227921	0.0756559383261854	0.0661036303372591	0.0639774941390644	0.050503554820539	0.0690794512918546	0.0535101598537219	0.306733103029712
"12"	0.658186259786176	0.0412428302586857	0.0782255472203934	0.497672018226782	0.0726809172451258	3.15288772425135	2.87111582096889	0.000110775860731241	0.107672021373712	0.0101808614613963	0.011915627529134	0.0655450251433782	0.0855187006556422	0.0193503418474133	0.073791857956563	0.0760283413654992	0.0839408038915207	0.0756978017530737	0.0428429984111335	0.0168368669610536	0.0837093085824847	0.00325367323671105	0.32798832366668
"13"	0.0554890625073281	0.0533630928225118	0.0502109222410944	0.317087433861531	0.0335597340115464	4.93268460983149	1.3193519450896	0.0658666189656877	0.218282308476945	0.0343299454853672	0.190299878603959	2.15516135794889	0.0308021235144794	0.0805535878718647	0.0540972739599834	0.0812705307207305	0.076283757254778	0.0277975968705227	0.0678729713620692	0.0529646089579044	0.0706630137300088	0.0711168589707888	0.0402303081345428
