"PAX5"	"CD19"	"CD34"	"HLA-DR"	"CD24"	"CD43"	"CD38"	"TDT"	"CD58"	"IGMi"	"CD127"	"CD45"	"CD123"	"CD179a"	"tIKAROS"	"CD20"	"CD22"	"RAG1"	"CD179b"	"IGMs"	"TSLPR"	"CD79b"	"CD10"
"14"	5.06659833335497	5.67856757062614	6.69565541710661	3.29992987597189	6.36384186350337	3.07692208756615	7.93566253721109	2.70175185036147	4.65315283862395	1.92695448157112	0.861132403959366	2.58173113094669	0.537750314847232	2.01466339598465	0.502521354441389	0.444317101153689	1.21398744836387	1.02984135660838	2.29393754373934	1.52019960726436	2.13849554098583	2.48587775051483	-2.3794114481389
"8"	2.65992057010937	4.0778409174207	3.77616115444819	2.35586037905553	4.5016110304322	3.13683801945025	8.45512715444558	2.77976133336701	3.0892702071152	1.7688019887906	0.800024110748118	3.08719836809996	0.449575038667257	1.75212368609898	0.344830264902904	0.224336838127938	0.423134127678966	0.422182121605231	1.88713087969315	0.901674858518086	1.28642804440738	1.85231294352746	1.83971578518826
"1"	4.19594970533427	4.40390209513153	4.19820784069575	3.82431869240724	4.28123529177957	5.53317183224324	5.80635121742552	2.38498263104707	4.72500333595492	4.1712421748423	1.34638574393642	2.05251750330771	3.43743131612893	1.87405766080121	1.11261061099945	1.0481580398697	1.04883452145952	1.5899271518017	1.62108694575971	2.24380862434702	1.94563286851158	3.15206538133771	4.88361888967855
"23"	1.13123341737164	4.61864285722381	6.54229404315299	4.21365713399016	-3.93049341392232	2.79154983711877	3.43890949384324	2.48162826682055	4.34921102017224	1.88177443480657	0.760220724742803	3.05218143819373	1.55620836880418	1.49054033609124	1.27057910036456	0.560219056040573	0.994556111465354	1.06836793614609	1.11948414294535	2.04320397352464	1.69646184795066	2.17118392502562	1.65599434892524
"45"	4.77431579560373	3.82160766203048	4.36197562108065	3.7520227492852	2.48197914287538	1.40918920887068	0.522030466154318	3.13233397490225	0.964217014742746	2.1008368093719	-0.503933132044688	2.08658410732792	0.569804387647725	0.483774217963147	2.19063323432161	0.607964728823536	0.495085148041978	0.365348057151959	0.366902217139783	0.251501481486567	0.112763643758863	0.429260458285289	4.47106567629378
"46"	3.16704678088529	2.61040860743456	3.06651479953267	4.54511400421353	1.42415165148562	0.615547869442809	2.58419778918666	2.03984185649877	1.10997518383455	0.561476600479455	0.473732362275028	0.774993072783245	0.0932518808194191	0.36977027941768	0.275525834222601	-0.0202594037378717	0.128278864223415	0.0840114889386327	0.301892334994566	0.8314926632998	0.00817022696525287	1.31391180565424	3.47288292962046
"38"	1.15192321086093	1.45508487986022	2.35991901277273	1.95622536521297	4.30630476238056	1.69033660804403	-4.264108988321	0.946362823143211	0.499442597509749	-1.75402155074158	-0.508879554889211	0.19673051396443	0.233530728234822	0.489925708996464	0.581935607043588	0.41357385805632	0.0476889035770096	0.033815523852966	0.383220189737534	0.062197905280398	-0.0277042261202009	-0.0101071298750621	6.66753386012195
"39"	2.1504276823593	1.22212313827137	2.50955716638708	0.996569885112962	2.71711806069164	-1.28042779819616	-2.78867515642429	1.51878185736925	0.666870466136744	-1.79400104083922	-0.561856802967613	0.83800437669971	-0.0507643700120316	-0.498389969176728	0.126882431013259	0.0201628397699909	0.00925297274245509	-0.019404242666842	0.39912136696523	0.0929424285221485	-0.0187838334850132	0.0177831437766156	3.99770417380067
"47"	2.04869798299316	2.30416912914267	2.00458326662327	1.89878864963175	2.42333320251332	2.04782434478176	2.3570541153409	0.709427739306485	0.9574422989034	0.63281322410806	-0.55107732926497	-0.752844087838249	2.32604969124459	0.492705894529913	0.0886853723498045	-0.0303518629162572	0.185348461816542	0.025051645616595	0.440484570159594	0.157283721154899	0.00969128601456446	-0.0101409952775127	2.73542060459366
"42"	3.25545247228969	1.75526692109421	1.14902990187697	1.96845880174169	2.4054743046908	0.643027561613417	2.48178540567877	1.09800760402153	1.01860844588811	0.994016456308895	-0.485788348393877	-0.768413061210515	0.1165550399712	0.783925661096147	0.174185767777392	-0.00834476217064465	0.035369981784868	0.0443639928393147	0.56610245058559	0.203238741165846	0.0295730846653101	-0.00923389692920334	3.65224667507068
"41"	1.48543887415778	2.23507067275139	-1.5341749796053	3.54193342269829	1.70404077175626	-1.0086639840962	1.47199175615243	0.721222725197888	0.85924183252971	0.9330406036856	0.427736647352978	-0.549756075808763	0.438160758649039	0.466909372476321	0.0846122560407086	0.137039957242709	0.0331694048255822	-0.0171492976781997	0.303453298960122	0.187791342336638	-0.0116623630084571	0.0192967386422388	1.84899027833457
"40"	1.08268815763775	1.33725664582031	-1.80136988960223	2.2215976066544	3.05345200063613	1.85482173947252	2.21767699320793	-1.84060033293824	-0.635895835638149	-1.40628920989213	-0.509685130831011	0.762487600717057	0.0202316866404159	0.157724272147575	0.021527696945607	0.0407564589668183	0.0244146942657121	0.0299905923986541	0.391170500039574	0.0913073558776677	0.0127414807900733	0.0516495105667483	3.33581515232114
"43"	3.17055912526411	2.34116419323393	-3.80586644494647	3.22875274580086	1.74768584144356	3.57229273067085	1.2892300450315	0.828360917170029	0.67879980737839	0.782144267811214	-0.494102599128117	0.757880757030526	2.87013161750091	0.478613266261271	0.0865416043574234	-0.00167199507407838	-0.0119579617666457	0.00562575401864787	0.38516763915711	0.251999714226345	0.00403285075126097	0.0418550444367198	-1.45085419572672
"37"	3.0787825475687	3.45113751261193	4.19181760996685	-2.72303545096589	3.03871449579924	1.79061432894427	6.29753993429763	0.951546969614867	0.672320489497806	-1.67921544026001	0.412468423727875	0.741339594014703	0.0908096420243997	0.424438178085626	0.0466950113414722	0.060568638302415	-0.0101072091356368	0.0108185710204286	0.570124589923654	-0.0833685256744234	0.0229509941194452	0.050764506731006	-6.35028226373356
