"p-IKAROS"	"p-S6"	"p-CREB"	"p-AKT"	"p-PLCg"	"p-STAT5"	"p-4EBP1"	"p-ERK"	"p-Syk"
"44"	2.53244473262568	2.02344127948138	1.01093828926945	0	0.0131383900880767	0.0290462567608718	0.403221128988347	0.137690873671544	0.176270151980339
"46"	2.05117167692034	1.849411403077	0.748441451768554	0.0196994698326156	0.0558231661161701	0.0165104030561154	0.17044182486393	0.189113566446229	0.262470718417596
"43"	2.15806961219785	1.59204365322501	0.908078883906755	0.0517833693516445	0.0561899869950036	0.0474544824806305	0.255898223917386	0.118372597755654	0.204607690308784
"42"	1.93552009328332	0.982765788885912	1.08483262455279	0.0246411703521317	0.0438810415406241	0.0166300975957352	0.165503219360316	0.0848903478842857	0.153206902312014
"2"	2.03665314117557	0.487371114742148	1.40055835451793	0.0351322075728449	0.0737088959511036	0.0113153272562591	0.0774377463203446	0.0550409535225731	0.0818569978821439
"41"	1.78545637296577	0.843559137853322	0.368037720388027	0.0323000510741535	0.069382151725723	0.0504294707833916	0.0305660673599506	0.1722676109665	0.0732134986975251
"36"	1.54594367279912	2.39925793209435	1.57392827364134	0.0360139417808821	0.075037333777376	0.0508119774387374	0.134355818277384	0.0661181688618818	0.0697958967651919
"39"	1.00113930191361	1.02969409505849	1.73673343910403	0.0587714296134479	0.0752084762471214	0.0192960163957195	0.0446201395779589	0.0473146669063665	0.000834023669529097
"45"	2.92433737997863	1.6867414963329	2.18629926812859	0.00584863354465302	0.0245461520266752	0.0997798349640965	0.774682191016388	0.202695053326187	0.119528851493469
"20"	1.19998390906083	0.410527543124772	0.740326619757014	0.0483900800113994	0.069553399988325	0.0392024619846136	0.0572071915685161	0.0186070925554832	0.00553104627778191
"47"	1.88172527349696	0.371291481712789	0.58095341953522	0.0410350483855452	0.0667869010957504	0.0161434816894904	0.108361400368457	0.0259241059988807	0.172428419080608
"29"	2.32052282648447	0.421848656574053	0.318836819578075	0.0686140024405383	0.105120853235918	0.0611236410538134	0.0216098759407205	0.0671028278698545	0.0327643600027799
