"p-S6"	"CyclinB1"	"p-STAT3"	"p-STAT5"	"p-ERK"	"p-p38"	"p-NFkB"	"p-STAT1"	"p-AKT"
"5"	3.74517093363091	3.25685207932265	3.73957236560904	2.00401109389375	1.81000807646403	0.508693254964287	1.98455480233394	1.66968262755162	1.45184644692297
"13"	3.37634144041994	3.1934858566264	2.39126124784985	1.74007784601354	0.657150497909446	0.535268296477815	1.78661557459258	1.55291048047087	1.14992321941468
"4"	5.7396018857827	3.67317986425262	4.1914149205432	2.24556068486823	0.714854167603168	0.543399853604795	1.26915847734329	1.31385693837956	1.28346972426427
"9"	3.37576118979275	1.46674449262785	2.81516212270892	1.28504765702277	1.32351903191293	0.332130692194287	1.25033035710638	0.904355699621702	0.894243271717555
"6"	3.39769546740655	1.95324560560371	2.74228315687016	1.55020804094616	0.11507285325611	1.35127660834855	0.472930882094687	0.556869407229141	1.16544164009238
"7"	4.07502266780611	3.99979166074358	5.2874579021034	3.76657831139957	-0.555536776197477	-0.619228865741489	-1.2797521820953	1.43986597568941	1.62000772719859
"11"	3.86323711963038	3.04327708926119	4.00607431605003	2.78530325265157	-1.02877494439146	-0.846510699125253	0.806187654857184	0.856241233147796	1.16180921385807
"3"	6.2958951017018	4.6525005369444	5.60613156541594	5.38742709964825	0.414650783930248	0.554546289207618	2.28817843379326	2.00215065257979	2.99037769655938
"8"	4.71456636055743	4.44068097687525	6.0261974326534	4.94201668299621	0.551701781733129	0.607032173643041	1.91489544748476	2.14240998882584	2.63146957558523
"2"	5.78943633150775	5.581053944017	6.75229429944636	5.79975651253095	0.415569639356206	0.430665646613501	1.99103563488137	2.67970976988323	3.26263166664522
"12"	2.92149881280676	2.72227126289717	2.35607303378635	1.11650183917074	0.46621476932488	-0.849245816017117	-0.69460597705321	-1.25049240683004	0.806965499656447
"10"	2.02963973069428	1.58284188811759	2.12007603030426	1.26108451763197	-1.08980117076279	-0.978815452352732	-2.16275267146683	-1.41953315681627	0.829322300356882
"15"	2.04217834158691	1.45658631810389	1.98942957655689	1.52152923601222	-0.556370289619947	-0.886857715576162	-1.3971622976242	-2.08820925047897	-1.2108237759107
"44"	2.61027201773481	2.30530778170963	1.81331469622568	-2.13210050089543	1.29197478911926	1.09031356866713	-0.786708823203673	-1.0910665770564	0.650643144444456
"17"	1.98572592707198	-1.29852534481163	-1.74749731265947	-1.8999903743292	0.813936655252895	-0.978193186594997	0.940823897166681	0.641702195912664	-0.871927424062986
"16"	2.20038123974029	1.47472274290167	-1.62988582333095	-1.21209038405665	0.438488475565815	0.259078028443988	-0.725292629694369	-1.24706395625773	0.796808984366623
"18"	1.80380147476602	1.38537971133858	-1.50594162061769	-1.97005825481298	-0.293581138638301	0.738988519660716	0.658279717971227	-1.24046746227188	-0.685738969952055
"21"	1.41619801965978	1.36678213091972	-2.11498176759582	-2.76300428044821	-1.08264897714897	-0.820443627992149	-1.57989090077772	-1.770853776929	-1.78853117577006
"23"	-1.28810337816411	-0.455675561793413	-2.9500214373317	-1.62783056050174	-0.316710269913824	-1.03247855215241	-1.45762154138643	8.34016406664578	-0.47486619202363
"32"	-5.15348242453317	-5.41408020231277	1.43641410404717	1.12757417134855	-0.489585506167287	-0.971296782380626	2.36171849606132	2.49832599388814	0.523863975107616
"1"	-1.79528568369362	-0.894734788305806	-2.8646535635552	9.23200181530559	-0.926533617856065	-1.06039450566437	1.675322597165	-2.9945206266573	-1.71019824053017
"19"	-3.8032153223088	-1.89551883336276	-4.93342985941949	-0.759595889432197	-1.26920484143472	-0.989779113608955	-2.15814482182855	1.00686991946902	10
"36"	-4.71585754072145	0.421430141210621	0.795891829135938	-1.70863896302771	0.42191397347107	1.15894052295216	0.401327126598491	0.883755978013878	-1.13988764701757
"29"	-1.30329987087695	-1.2922501552534	-0.933465685090108	-1.0031839372757	-0.455399418234807	0.304052993287202	0.183395143209344	0.278653684163746	-1.22464416229756
"43"	-1.96153137249166	-1.08261545053976	-1.02012884525378	-2.13911231391791	0.521308878306938	0.7137949586727	-0.503963469887007	-0.690382827774493	-1.0482495260529
"35"	-3.40531381550384	-1.46602730852588	-1.79509394429333	-1.98235167813619	1.09537988934603	0.570706929634306	0.649701416637313	0.537511788949773	-1.22082875495591
"39"	-4.19252316944207	-1.36258895515808	-0.966735469818918	-2.40156050031873	0.0789120399952855	0.427867525717115	0.826508559659257	0.242691686045627	-0.582774391505466
"14"	-2.58627833047075	1.19511405022116	-1.57052186413709	-1.2700870120141	-1.08810156198095	-1.06294371272135	-1.69479151954945	-2.14729901316785	-1.09934807465766
"20"	-3.88455476826901	-1.62304463671083	-3.702930655694	-3.29495419754844	-1.18584671529585	-1.09199473002831	-2.47187961663822	-3.17734707791057	-2.03372915395073
"25"	-4.30716360896214	-2.57208994046795	-3.19165760894757	-3.2746528946032	-1.27853797593192	-1.07542856084067	-2.6846224036618	-3.26807721818181	-2.08495201828211
"27"	-3.18184402834255	-2.38567763708947	-2.87043450336819	-3.40579467020948	-0.444368293185018	0.463437705108722	-2.28672729343021	-2.57304916008019	-1.66009176496617
"26"	-2.53685240919086	-1.60179627819276	-2.75169728515533	-3.14518577685307	-0.543027158130307	0.286591599815882	-2.36877867382056	-2.33976410601782	-1.73921049530583
"30"	-2.12312732416582	-2.00999861125603	-3.02890439936856	-3.24160606812261	-1.0241280213194	-0.107820149933767	-1.9549442750471	-2.68219677702433	-1.99835379329899
"24"	-6.21729855941263	-5.20430660232223	-5.93288437583856	-3.33794999798275	-1.2605333424216	-0.980982270393705	-3.57458190589339	-3.36499112759741	-2.00072489242198
"28"	-6.20396628480246	-6.56462451868314	-5.8493392857706	-3.3128996462062	-1.19971734476587	-0.947273463759843	-3.50645501517514	-3.29533839086516	-1.97795075668805
"22"	-5.43542710725042	-3.64141400479358	-4.65516015308939	-3.43820426006473	-0.67712466520073	0.23479150693024	0.487180448569183	-2.33274360393364	-2.11614657821175
"38"	-5.51370472971572	-3.57431973625388	-3.67838500975234	-3.38015266016645	-1.09842872152005	-0.263184755935477	-2.08052568828486	-1.48647265851237	-2.05056846740419
"34"	-6.09606027256542	-5.3060189542682	-4.28742330616787	-3.46193381488381	0.350529158201294	-0.644886550414208	-1.33336737918878	-0.724281758435647	-2.07185535328564
"37"	-6.19941498368539	-4.20950890853152	-3.40752740206363	-3.3637148973796	0.390442013573937	-0.131962439917233	0.562317529591602	0.431493934565613	-1.96680707881397
"41"	-6.02570113882759	-6.51364556195314	-2.74760631627731	-3.27426886279727	-0.781350459979971	0.772372623534338	0.750367678123342	1.24519318271543	-1.82090854011975
"31"	-6.16105260286848	-6.48829456804533	-2.86812650015371	-3.31686835550993	-1.16880181694883	-1.07985507587881	0.906195154505895	-0.0743580106568544	-1.49562958598243
"40"	-6.19903313736871	-6.59031605627358	-3.08020832295715	-3.36983147080697	-1.20455213771225	0.0960517392936004	-2.22799683974789	-0.190105760903099	-1.92375940840283
"42"	-6.20745477415662	-5.31085510484315	-4.03014578935201	-3.40339678311005	-1.04731285202474	0.233189162721381	-0.665669250117952	0.54387874328586	-2.03381134968662
"33"	-6.21280224570432	-6.66483944232266	-4.10948395404517	-3.48009423781485	-1.15189561770667	0.116881116967911	-0.0813985480444113	0.219612385533755	-2.06373331886194
