"p-S6"	"CyclinB1"	"p-STAT3"	"p-STAT5"	"p-ERK"	"p-p38"	"p-NFkB"	"p-STAT1"	"p-AKT"
"5"	2.32789539592511	2.58832096961555	2.30819755038045	1.38378519540296	1.21735352019649	0.474839252200636	1.64696072702512	1.23324027858019	1.04979915964508
"13"	2.18097008236996	2.00540044110515	1.56077823300303	0.750423574111905	0.521686846795143	0.47182302790762	1.28237881918804	1.03668621764558	0.636688934341855
"4"	3.38447228353373	2.36284885344488	2.40365651364443	1.52227384306356	0.454548978765109	0.24278941487156	1.10751763586262	0.874080502660943	0.881878449844757
"9"	1.35571803083796	1.29519120417217	1.41029894639501	0.565487931188765	0.978752064428066	0.248893830947816	1.21724935277359	0.793319788164152	0.603076183716655
"6"	2.37938026119519	1.92557505123273	2.22044540883659	1.16231364750336	0.363527995882213	0.906803458689109	1.01310816730378	0.874492629016467	0.913177355004991
"7"	1.83967344366956	2.13422667176996	2.40954338540907	1.8721284210619	0.260791836709026	0.212038838001236	0.660670396137666	0.995780421573501	0.999082393184865
"11"	1.93541104046722	1.77391973657087	2.00133163634607	1.54025607712316	0.183027578561999	0.141165515192722	0.800633010342968	0.741412736438967	0.778188157992035
"3"	3.86140663280533	3.09897136003988	3.40402951958091	3.13830206812618	0.501917422136558	0.311979239276205	1.81000352494926	1.50136867098338	1.85149429737525
"8"	2.41846038051483	2.23579415095348	2.81461132798651	2.29132490036236	0.329183636365827	0.328676928515039	1.23832850109747	1.28666756186253	1.48294129959492
"2"	3.33481316147433	3.15525931145454	3.65993899726139	3.23301491885679	0.481699661135683	0.384797114842593	1.57829753870202	1.70230842464475	1.98608169880373
"12"	1.25993020581281	2.0337888133707	1.41942590975521	0.643770481466275	0.541039685133185	0.128539500757329	0.754405964304956	0.574200240586246	0.538476216159508
"10"	0.898927383330158	1.27711730093495	1.37302858000131	0.835832389743297	0.150213713821328	0.0744672888604703	0.360497816408268	0.502991258950356	0.395745570390118
"15"	1.32341271614492	1.06477701835768	0.990112438507904	0.400067101997519	0.279753374072323	0.117774001302994	0.583593984000407	0.368347306466254	0.285567055684244
"44"	1.90046726732006	1.2005179609885	1.15886423857402	0.337927077570676	0.959771366969474	0.773665566774947	0.761591689858736	0.57248645623587	0.461668269347633
"17"	1.06379610029786	0.85491929749419	0.791216298660301	0.246236618261591	0.71229178521577	0.0730415806554338	0.953695694378596	0.676172971681317	0.262351796655073
"16"	0.757957207193232	1.35681807566597	0.821217469931316	0.371145981943459	0.469737743368986	0.235287791556922	0.744181267897165	0.54574113965205	0.335621266947024
"18"	1.43933604573036	1.41184791590728	0.778931593745803	0.2139831612792	0.279716657048637	0.599881373342225	0.83421149343889	0.461875337145987	0.29273772257619
"21"	0.833328924860695	1.09427519873087	0.652498716341872	0.196134775313394	0.151437582423068	0.144456111068502	0.552311018482638	0.418080839554623	0.188150219992325
"23"	0.470508699256945	0.864103628907335	0.151092994101003	0.18764090917997	0.168555606613439	0.0326788760858671	0.261795941311342	4.95317973972253	0.275571824482519
"32"	0.129712961510253	0.121589329687946	0.944906426141513	0.41759629214957	0.192849181656927	0.0661565520749315	1.74353924523619	1.77982161194053	0.479236138946724
"1"	0.349902170202739	0.581214161596716	0.184005895529582	5.1268397710272	0.093367380059665	0.0212444641487924	1.6274802976543	0.0731117388504253	0.167691410295083
"19"	0.0997214454317515	0.375470770726973	0.0221070675056748	0.304691048586359	0.0351042352803715	0.0498895698822451	0.145555456659047	1.18140283730718	5.48100560011498
"36"	0.247251878863148	0.997920838507963	0.973057729811642	0.325535548400392	0.395758779640457	0.806343992308256	0.806740502219619	1.05404374914328	0.254171757571274
"29"	0.515624153557895	0.62003011796081	0.79403835948323	0.285616558113276	0.255222788224306	0.237930042283589	0.868531242445877	0.799515882471849	0.208482887467924
"43"	0.308237498723863	0.868627635233483	0.770238021570933	0.231608639854452	0.312050375119602	0.588271441295525	0.66262398203157	0.561511306046194	0.215530689336871
"35"	0.374651196037304	0.739182871585308	0.785758808094461	0.309926649155058	0.867714849804213	0.514862986368848	0.953027451236619	0.930579250914326	0.223823121457186
"39"	0.185865071559414	0.763446954983786	0.864321953618016	0.177298668940506	0.346011699782258	0.440108462722942	0.893091739796502	0.74005889990983	0.253897115385714
"14"	0.560192849462617	1.02585737134032	0.774356368055185	0.339565668804505	0.142809607507338	0.0254088508516419	0.421146885879354	0.316708418146462	0.229574153217567
