"NCAM"	"CD133"	"TUJ1"	"CD15"	"CD49F"	"HLA-DR"	"Nestin"	"CD34"	"PDGFRa"	"CD117"	"CD171"	"SOX2"	"CD44"	"GFAP"	"EGFR"	"S100B"
"13"	0.987922808817227	1.05922265277273	0.688227679253715	-0.218187280023338	0.548712652222758	0.70639328704281	0.51577660211325	0.859241118994425	-0.0536807415645093	0.0898549754893494	0.120593878833546	-1.58166810958469	2.14928406355698	2.49201261156934	1.58315503045712	5.73721347832838
"17"	0.838130339194021	0.476806658769773	0.350364621038245	-0.276728682979524	-0.194023278919109	0.438932481406443	0.264917551849073	0.019189496688226	0.0356064333256792	0.0121764088959604	0.0879090540167127	1.09469973006678	1.44864826918646	3.51905723747173	2.79073220949424	4.53783443707405
"21"	-1.04522118244139	0.454163233975128	-1.54042311538839	-0.336912631758013	0.105525970462131	0.319895281829122	-0.0433037880543519	0.400873202357364	0.0223974515612829	0.0244014590095529	-0.0400289779848011	-2.50558105985866	1.6078025232989	1.61068710548796	1.91583622168192	4.49458099085273
"18"	2.70170817477487	1.39757737919247	0.710902728875823	0.331129651670835	0.600885121549837	0.204764576366558	0.0303825268959089	0.800397959061465	0.00112655070009302	-0.0215467391369271	0.171461013121762	-1.53285414575293	2.1878644240719	-0.769267582810371	4.16755329713333	3.69510153914776
"5"	0.793378841056436	1.34043854775011	1.34049402074655	0.0822864427753294	0.317052456891648	0.440162496944068	0.539572245781946	-0.0930499435903921	-0.0576855621147116	0.190295356744252	0.248405781354263	1.52897677135229	-1.37921141064819	2.10650129541093	-1.93329553147439	6.4139094519801
"9"	0.917907961228366	0.568638094123514	0.694497969582537	-0.223282527259394	-0.475383643695859	0.322852480098944	0.338378095819202	-0.078416513891462	0.0318429788457259	-0.000574258139216028	0.0554777450398714	1.61160344304114	-2.3221741628259	2.85257410283848	-2.26701705670809	5.47170448799557
"16"	1.05814545934594	0.590072112379927	0.863131442585666	-0.138228575339478	-0.155279264775215	0.249885380933713	0.0567556366452557	-0.0775613659565705	0.0173546561439983	-0.0282300435236169	0.2983695931717	0.606075924827679	-0.944517805512149	2.04329846837314	0.977662677641429	5.90238634017692
"12"	0.965249133030703	1.06390615228831	1.59309049259877	-0.337800046901388	-0.505990556356979	-0.791032472739831	0.0986405133719528	-0.0496211951218986	0.000819354976015501	0.104250205418174	0.255472524280982	-1.11725125077636	-3.36234078214345	1.42573249089275	-2.34297035462003	7.07811746718096
"6"	3.23063348233252	2.7398953725848	0.507526948278278	-0.0703563143638946	0.199740213203579	0.583033572209514	0.0502171535062954	0.338346581644444	0.206398197421484	0.0045296212406928	-0.0129668457059449	-2.92287692538246	-1.14583757850094	-0.731303067009925	-2.24433598989157	3.49259392419855
"4"	-1.29966620255343	0.898031517695141	0.856620947483049	-0.318245983084173	-0.330953095542786	0.568989013823973	1.01182826278779	0.16046640479911	-0.0108785367383597	-0.027258305303521	0.0022841618385632	-4.07661528415968	1.37280615445615	1.91325659129631	-2.3444064448364	5.66595674156782
