"NCAM"	"CD133"	"TUJ1"	"CD15"	"CD49F"	"HLA-DR"	"Nestin"	"CD34"	"PDGFRa"	"CD117"	"CD171"	"SOX2"	"CD44"	"GFAP"	"EGFR"	"S100B"
"13"	0.645086627421376	0.995375497861941	0.643481365957373	0.0993932444428163	0.551633029843518	0.765552870752446	0.443889587138336	0.701147037963843	0.00342894753914517	0.0899749009983085	0.130795580720267	0.793485524894057	1.47918592080628	1.99820689935119	1.22261983726856	3.92620331865656
"17"	0.858607001514421	0.668561745375498	0.462311583237695	0.0600350721312664	0.145906307056431	0.567126220844206	0.258164030862525	0.0885810198476304	0.0676867353062067	0.0313714780436306	0.106419894676614	1.45536253942867	1.27170153872834	3.07061860848111	2.21952959265277	3.51485553298728
"21"	0.446452464648341	0.338415321968804	0.130572930103036	0.0204695732839165	0.228220685467975	0.280566702307679	0.039027078325973	0.364015661926366	0.0581639732942776	0.0401128863744885	0.0156517984341172	0.392081599618833	0.918315705983236	1.24942894522285	1.22457368054902	2.72684895199308
"18"	2.2380737780929	1.35045295183459	0.255578403575925	0.373946404529252	0.591111587452799	0.402057898991741	0.0917857876229853	0.66004364299171	0.0436554409652752	0.00687891891237655	0.168737939551966	0.689406215767466	1.7574160155106	1.21887049068986	3.24917074864861	3.00870542463585
"5"	0.964397569200154	1.2877134470699	1.19245279835284	0.190562207991547	0.174205179139082	0.564490360315426	0.45586956585591	0.00953281016166176	0.00103157619344979	0.166282401454198	0.220398844090585	2.04191370819784	0.480078167138127	2.48616132428213	0.108750137968067	4.76509716774804
"9"	0.613712424118625	0.59891199933844	0.601305807222692	0.0943983970684791	0.0480086838497847	0.486616413782256	0.314664939803571	0.0197353485911664	0.0652930196771997	0.0221758471756046	0.0840746092744321	1.6807876509021	0.291644214102089	2.56497700665265	0.0604979310309847	3.55383754466118
"16"	1.31226099172771	0.587461845700824	0.86221973653156	0.115479375891565	0.148287076439358	0.266437010716959	0.110248582780144	0.0191371754959042	0.0546997421784075	0.00213396441450838	0.260600072143022	1.45918185336799	0.486029961086601	1.81320619208256	0.374879185541376	3.37976414124044
"12"	0.848178021981357	1.03213290994201	1.39359767591791	0.0163650047618398	0.0269826451781303	0.151228497968429	0.140511616024571	0.0423406859401281	0.042826958617504	0.100616035430912	0.229142456898223	1.15596704280454	0.0608875633030266	1.29100523843127	0.0185877392939862	4.33847206405643
"6"	2.72457379214294	2.31982805104377	0.259612147588265	0.12811217785178	0.295849748593703	0.671770989902334	0.105486849911851	0.31831654555717	0.197057637663581	0.0258611928820341	0.034779130514122	0.310782250243448	0.461348082645409	1.14767639933876	0.0721680888010337	3.18710490228549
"4"	0.45690475780798	0.752983533362201	0.853999083021494	0.0370424161273066	0.150765319595513	0.472965251429701	0.807460887954031	0.190356921068374	0.0344680184129401	0.00306910800420627	0.0457152172712932	0.236998025025149	0.776011846360834	1.56962491769589	0.015876186516766	3.57171788238767
"15"	0.413918731595807	0.304912179354029	0.222470355175447	0.0370295532506124	0.00739798167632215	0.205247891199193	0.0723837087736401	0.0166426541675198	0.070405833845028	0.0445450333978637	0.00946109372935436	0.434719854167818	0.279666506687303	1.22162071042494	9.7678148777029e-05	2.61816567916925
"20"	0.111663236547112	0.15871116036091	0.047812609973607	0.0374031914960608	0.000405492482770649	0.0664111676281877	0.0372000750229805	0.124158187915305	0.0733713297969013	0.0407238593707381	0.0370350808473989	0.183224034355452	0.228616257920787	0.891860167567533	0.185703178639622	2.47101581388668
"19"	0.0209041640073508	0.0211135243725266	0.105471794584279	0.0519778744317288	0.0677537789821837	0.0303944516608086	0.341451963244184	0.044973130469055	0.092211965541828	0.0516908095763811	0.0457954126373922	0.131170441309658	0.0159100965307779	0.378491734647499	0.032178830693917	0.828316880424843
"23"	0.341896111298668	0.0319028795444579	0.284838926466924	0.0490880288791829	0.0450947289118679	0.0772103706539317	0.0208186846255917	0.032766465896457	0.0880473701561454	0.0581800780673164	0.0362809123819835	0.440698463397662	0.0908576055198021	0.788257474076388	0.0202580259974125	1.91768174839532
"1"	0.122220180406843	0.0131441965692156	0.115586651829979	0.0298771246125236	0.0414992415729864	0.0669775701509613	0.00111782425087014	0.160157922809119	0.0727191835859237	0.0894398802758216	0.0819846755036227	0.331908617228659	0.127451568112985	0.567602113327892	0.0156084309280694	1.1349429363344
"2"	0.671201026549054	0.639138665368724	1.25862718494507	0.561278607194866	0.32579206463658	0.264001655748276	0.0580693974040799	0.0623451448140225	0.0211775513739502	0.144420470992411	0.0566825081969478	3.95696137903737	0.0545826568492019	0.156549803038608	0.0422539219745759	4.06703399134962
"7"	0.778232239945321	0.534953887073083	0.926099532231045	0.911211250008029	0.125312099800507	0.0905802183249032	0.0198945719919038	0.0268038303384836	0.00291858464524648	0.0383260650765005	0.0416250223782564	4.37715234947007	0.0520174939235756	0.0972124682439983	0.0724068248921266	3.83983929707031
"10"	0.610556604495878	0.301419950169896	0.575933625532745	0.621617784189357	0.00610746222626113	0.00956213058525002	0.0310680177660926	0.0562191412498938	0.0380465680863379	0.0282805116089704	0.0504463127454765	3.69735424976912	0.050062526332546	0.186296665994323	0.0574150967433268	3.42088020330837
"3"	0.738003045826498	0.634447924695805	0.859623072585887	0.0164306726497958	0.270936637628441	0.316162497423694	0.102336867347601	0.0710968460765791	0.0526930656186093	0.0971186871748636	0.141103947023825	1.13098317474295	0.00821877554908882	0.577731426733681	0.0346808779400349	3.78798171334783
"11"	0.406936407708077	0.332267115003025	0.312541209718772	0.00448807274751462	0.0591466380758235	0.129227587254366	0.00765941882559597	0.0251090546483398	0.0638826172420956	0.0384090391817213	0.0073375252106983	0.970351631307017	0.0222061583914176	0.43126505385208	0.0291276631265695	2.77400055921866
"8"	0.308950261864286	0.366220554600319	0.507532157805088	0.367425686969928	0.143091725636923	0.153455435099824	0.0419992850568804	0.00849230140075568	0.0428588238139521	0.00732359076421329	0.0179652310371915	3.07281453439998	0.0564728092202044	0.343908773937743	0.00865666485211137	3.03547233532121
"14"	0.268211901358159	0.147686844066497	0.369660121478486	0.0981443949227407	0.0399840499599703	0.00619544595794344	0.0351881064099428	0.0289036320563861	0.0715175391209009	0.0388854608981832	0.0319024118860031	1.9469645621016	0.0306184668884189	0.498638163765389	0.0233263110498378	2.49289691229547
"35"	0.784467955012679	0.299175950527221	0.137185486314557	0.331363087786745	0.271559633289652	0.235230094579359	0.242720200976865	0.187980537139148	0.00783259980946441	0.040056876191191	0.125457734083468	1.86594513942624	0.684023978948973	3.73455322828198	0.220629789026558	0.492043033499159
"22"	2.48094735026935	0.126282597174053	0.317599385712788	0.427824701659197	0.264639528889541	0.250333278093235	0.0277933544549181	0.0423725463000934	0.0601539937270915	0.0380795368596612	0.304660789660991	1.55571792213995	1.52401432196316	1.02651402567668	3.90527109506239	0.426040481211225
"26"	2.31514168583712	0.111160247021083	0.799335597744608	0.255201422064602	0.0917136273060923	0.203331746847035	0.0611263955995603	0.0155654872705345	0.0550869108370949	0.0201120712909083	0.413376727360317	2.15907332821518	0.444977432883829	0.747046221446705	0.309946120861706	0.839631881192981
"27"	2.91661426037434	0.172737652229311	0.713545493281647	0.183587512322717	0.230810613475397	0.710958586516339	0.200626002639485	0.118422671905234	0.0277113940741448	0.0345187445683793	0.4263098578678	1.11494869042606	1.17132169929242	0.898541194687012	1.38426815873674	0.209367661775881
"30"	0.765596264402228	0.0986313188707871	0.120417145248109	0.0448382948462663	0.0391842339850565	0.206910087492197	0.00407738263634015	0.114335032582624	0.0697305325045835	0.0446095017970829	0.0152737192265572	1.00766306803653	0.563251856288354	0.959795991077579	0.887070249532764	1.10031067704137
