"NCAM"	"CD133"	"TUJ1"	"CD15"	"CD49F"	"HLA-DR"	"Nestin"	"CD34"	"PDGFRa"	"CD117"	"CD171"	"SOX2"	"CD44"	"GFAP"	"EGFR"	"S100B"
"13"	0.886713056440502	0.799814160491733	0.91242495006155	0.5	0.835574000626307	0.812067380780515	0.759486914595558	0.832169440541665	0.5	0.5	0.5	1.11504506602684	0.939397978005656	0.886187424250102	1.05914099114192	1.04704347097248
"17"	1.11514082820534	0.934019499633583	0.97472271304374	0.5	0.544805003109167	0.892354135920327	0.614677609714755	0.5	0.5	0.5	0.5	1.27821561197208	1.17290350844611	1.02010158208233	1.14495989030049	1.27780247898398
"21"	0.870559500358162	0.681743612203533	0.503827251557509	0.5	0.6466718338488	0.60795712418414	0.5	0.698340305526798	0.5	0.5	0.5	0.969360825134378	0.872323045435992	0.853175218739294	0.857531268221236	0.984367148289818
"18"	1.08806584642623	1.15033350678488	0.669338177943634	0.778149538823459	0.823470052741749	0.764500365280626	0.5	0.966793094236199	0.5	0.5	0.5	1.20499673720301	1.10494684345761	1.16135690979596	1.78199652612658	1.29494920903681
"5"	1.24736845797654	0.915978561833612	1.0252972730475	0.56728496812312	0.512022402685492	0.763088950864425	0.790109430205145	0.5	0.5	0.5	0.604986171016566	1.55051706706481	0.797012662294506	1.42319219997483	0.551969133426848	1.20040351824334
"9"	0.89849865407552	0.783200663563409	0.877185594257687	0.5	0.5	0.729382590638717	0.637759556583493	0.5	0.5	0.5	0.5	1.15284708310673	0.627656995080259	1.02789270191754	0.5	0.995985819394223
"16"	1.85444360186366	0.76604093623617	1.2786044066688	0.517015284034688	0.555130241953339	0.626444302032808	0.5	0.5	0.5	0.5	0.847647306239628	1.64464161388119	0.930747418962961	0.95907538948322	0.818448640750094	0.868523720746474
"12"	1.02720000136306	0.822871209697633	1.1671753145757	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.630509659229533	1.09930384001902	0.517209008365789	0.924690602102969	0.5	0.876950352026485
"6"	1.14249149188829	1.23848434467748	0.749833979405067	0.535407543589616	0.739179371218658	0.903245184441169	0.5	0.848260250078377	0.611889735661475	0.5	0.5	0.876759611728416	0.875530233301408	1.25208974039431	0.508949716287083	1.54043390497328
"4"	0.776845446549637	0.72644438674041	0.98519934808582	0.5	0.5	0.61124007164924	1.05857238010074	0.537123296441705	0.5	0.5	0.5	0.644522139317821	0.884583554870413	0.892587311639279	0.5	0.959601340221411
"15"	0.9076596878694	0.611766957607421	0.621935595156158	0.5	0.5	0.534990722231256	0.5	0.5	0.5	0.5	0.5	0.928736291432551	0.654519909720983	0.997732238390381	0.5	0.963328922306811
"20"	0.506262612089453	0.536490686539718	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.588219744445492	0.596595931429338	1.04916908783439	0.625025649727763	0.965374754045471
"19"	0.665011694561533	0.5	1.02002076340347	0.5	0.5	0.5	0.730413742159579	0.511188337670759	0.5	0.5	0.5	1.27550445872351	0.5	1.28819599476036	0.5	2.68830683793185
"23"	0.868484465998539	0.572087879125636	1.11019445440795	0.5	0.5	0.534179278055076	0.5	0.5	0.5	0.5	0.5	1.43591232322729	0.6873027843708	1.826108492511	0.5	3.3520126836181
"1"	0.860549550387772	0.5	0.84486147109965	0.5	0.5	0.567133657549552	0.5	0.54843929535444	0.5	0.5	0.5	1.44025755762323	0.845383813785227	1.55260741977755	0.5	2.58378888716564
"2"	0.924248555805679	0.709590823004522	1.09882140150642	0.745233989311282	0.542285230886441	0.5	0.5	0.5	0.5	0.5	0.5	1.38968125488443	0.5	0.590370843880251	0.5	0.982336149341553
"7"	1.01971707089137	0.74882931982558	1.24474108048163	0.745969126250236	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.892692560971353	0.5	0.5	0.5	1.40425475017733
"10"	1.02079855193206	0.594508879605128	1.09238703938439	0.755690776234413	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.20304619729718	0.5	0.645636464994556	0.5	1.33690658970959
"3"	1.07256629435929	0.733277283329225	1.01404125480574	0.5	0.5	0.514113710128624	0.5	0.5	0.5	0.5	0.5	1.31617913512054	0.5	0.924803165606133	0.5	1.16144270508045
"11"	0.903437415277246	0.608254728460708	0.699976723983618	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.67913062328148	0.5	0.782097127744948	0.5	0.952218914720976
"8"	0.76406124501353	0.563233820372885	0.752125796122957	0.572366665285752	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.13962909184754	0.5	0.903563790072846	0.5	0.789168821157815
